DEMANDA,QUANTIDADE,DATA_SOLICITAÇÃO,PRAZO_DESEJADO,DATA_APROVAÇÃO,DATA_EMISSAO_NF,PREVISAO_ENTREGA,NUMERO_NF,FORNECEDOR,VALOR_TOTAL_COMPRA,VALOR_FRETE,CREDITO_ICMS,CNPJ_FATURADO,FORMA_PAGAMENTO,NUMERO_PARCELAS,VALOR_UNITARIO,UNIDADES,CATEGORIA_COMPRAS,CATEGORIA_MATERIAL_PCP
MP434 PAPELAO CORTADO 29X23.5 - CADERNETA 14X21/9X13UNICA-U,39740,26/03/2025,26/03/2025,27/02/2025,25/03/2025,28/03/2025,39942,Papelão União,13126.4,0,1528.95,Bruniel,Boleto,4,0.33,UNIDADES,Papelão,PAPELAO
MP435 PAPELAO CORTADO 36.5X23.5 - ORG.A5/WIRE-O.A5/PLAN17X19.5UNICA-U,4156,26/03/2025,26/03/2025,27/02/2025,25/03/2025,28/03/2025,39942,Papelão União,2313.89,0,268.93,Bruniel,Boleto,4,0.56,UNIDADES,Papelão,PAPELAO
MP437 PAPELAO CORTADO 43X27 - FICHARIO A5/17X24/CAD.OGR17X24UNICA-U,3950,26/03/2025,26/03/2025,27/02/2025,25/03/2025,28/03/2025,39942,Papelão União,2970.2,0,345.96,Bruniel,Boleto,4,0.75,UNIDADES,Papelão,PAPELAO
MP115 Percalux Areia 33 180g/m2 Bob 1400 mmUNICA-U,2,03/04/2025,31/03/2025,01/04/2025,,03/04/2025,4762,Belo Plástico,35,0,,Natural,Cartão,1,17.5,METROS,Sintéticos,COURO
MP136 Percalux Vinho 180g/m2 Bob 1400 mmUNICA-U,2,03/04/2025,31/03/2025,01/04/2025,,03/04/2025,4762,Belo Plástico,35,0,,Natural,Cartão,1,17.5,METROS,Sintéticos,COURO
20381 WIRE-O - BOBINA PRATAUNICA-7/8,4,11/04/2025,01/04/2025,02/04/2025,07/04/2025,11/04/2025,218335,Lassane,1493.94,201.7,173.63,Natural,Boleto,3,373.49,UNIDADES,Wire-o,WIRE-O
MP001 FITA DE CETIM Nº0 4MMLaranja - Cód. 25 Kit-4MM,300,04/04/2025,01/04/2025,02/04/2025,03/04/2025,04/04/2025,125050,Castro e Castro,29.97,0,3.27,Mar,Boleto,2,0.1,METROS,Aviamentos,FITA DE CETIM
20378 WIRE-O - BOBINA PRETAUNICA-3/4,2,24/04/2025,09/04/2025,10/04/2025,22/04/2025,24/04/2025,219101,Lassane,669.37,67.46,85.64,Natural,Boleto,3,334.69,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-5/8,4,24/04/2025,09/04/2025,10/04/2025,22/04/2025,24/04/2025,219101,Lassane,438.52,176.77,224.42,Natural,Boleto,3,109.63,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-7/8,3,24/04/2025,09/04/2025,10/04/2025,22/04/2025,24/04/2025,219101,Lassane,938.45,94.57,120.06,Natural,Boleto,3,312.82,CAIXAS,Wire-o,WIRE-O
