DEMANDA,QUANTIDADE,DATA_SOLICITAÇÃO,PRAZO_DESEJADO,DATA_APROVAÇÃO,DATA_EMISSAO_NF,PREVISAO_ENTREGA,NUMERO_NF,FORNECEDOR,VALOR_TOTAL_COMPRA,VALOR_FRETE,CREDITO_ICMS,CNPJ_FATURADO,FORMA_PAGAMENTO,NUMERO_PARCELAS,VALOR_UNITARIO,UNIDADES,CATEGORIA_COMPRAS,CATEGORIA_MATERIAL_PCP
MP001 FITA DE CETIM Nº0 4MMAzul Marinho - Cód. 120 Kit-4MM,200,24/10/2024,17/10/2024,23/10/2024,25/10/2024,28/10/2024,107859,Castro e Castro,19.98,0,2.18,Elohim,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMAzul Royal - cód. 40-4MM,200,24/10/2024,17/10/2024,23/10/2024,25/10/2024,28/10/2024,107859,Castro e Castro,19.98,0,2.18,Elohim,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMDourada - Cód. 87 Kit-4MM,500,24/10/2024,17/10/2024,23/10/2024,25/10/2024,28/10/2024,107859,Castro e Castro,49.95,0,5.45,Elohim,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMMarfim - Cód.02 Kit-4MM,200,24/10/2024,17/10/2024,23/10/2024,25/10/2024,28/10/2024,107859,Castro e Castro,19.98,0,2.18,Elohim,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMMarrom - cód. 32-4MM,400,24/10/2024,17/10/2024,23/10/2024,25/10/2024,28/10/2024,107859,Castro e Castro,39.96,0,4.36,Elohim,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMPrata - Cód. 179 Kit-4MM,300,24/10/2024,17/10/2024,23/10/2024,25/10/2024,28/10/2024,107859,Castro e Castro,29.97,0,3.27,Elohim,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMPreta - Cód. 39-4MM,2500,24/10/2024,17/10/2024,23/10/2024,25/10/2024,28/10/2024,107859,Castro e Castro,249.75,0,27.25,Elohim,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Musgo - cód. 108 Kit-4MM,1000,24/10/2024,17/10/2024,30/10/2024,31/10/2024,31/10/2024,911174,Parco Comércio e Serviços,59.94,0,11.99,Projeto,Cartão,1,0.06,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Piscina - Cód. 232 Prógresso-4MM,200,24/10/2024,17/10/2024,25/10/2024,25/10/2024,31/10/2024,274578,DSJ Londrina,21.98,0,3.28,Projeto,Cartão,1,0.11,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVermelha - Cód. 26 Kit-4MM,400,24/10/2024,17/10/2024,23/10/2024,25/10/2024,28/10/2024,107859,Castro e Castro,39.96,0,4.36,Elohim,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVinho - Cód. 37 Kit-4MM,300,24/10/2024,17/10/2024,30/10/2024,31/10/2024,31/10/2024,911174,Parco Comércio e Serviços,29.97,0,5.99,Projeto,Cartão,1,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMAmarelo Ouro - Cód. 132 Kit-7MM,400,24/10/2024,17/10/2024,23/10/2024,25/10/2024,28/10/2024,107859,Castro e Castro,39.96,0,4.36,Elohim,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMAzul Marinho - Cód. 120 Kit-7MM,700,24/10/2024,17/10/2024,23/10/2024,25/10/2024,28/10/2024,107859,Castro e Castro,123.2,0,133.44,Elohim,Boleto,3,0.18,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMAzul Royal - cód. 40-7MM,400,24/10/2024,17/10/2024,23/10/2024,25/10/2024,28/10/2024,107859,Castro e Castro,39.96,0,4.36,Elohim,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMDourada - Cód. 87 Kit-7MM,800,24/10/2024,17/10/2024,23/10/2024,25/10/2024,28/10/2024,107859,Castro e Castro,79.92,0,8.72,Elohim,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMMarrom - cód. 32-7MM,800,24/10/2024,17/10/2024,07/11/2024,07/11/2024,07/11/2024,593194,Tecidos e Armarinhos 253,79.92,0,15.98,Projeto,Cartão,1,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMPreta - Cód. 39-7MM,4000,24/10/2024,17/10/2024,23/10/2024,25/10/2024,28/10/2024,107859,Castro e Castro,399.6,0,43.59,Elohim,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMVerde Musgo - cód. 108 Kit-7MM,200,24/10/2024,17/10/2024,23/10/2024,25/10/2024,28/10/2024,107859,Castro e Castro,19.98,0,2.18,Elohim,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMRosa Bebê - Cód. 04 Kit-7MM,200,24/10/2024,17/10/2024,23/102024,25/10/2024,28/10/2024,107859,Castro e Castro,19.98,0,2.18,Elohim,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
20336 FERRAGEM A5UNICA-U,6000,28/10/2024,17/10/2024,25/10/2024,29/10/2024,04/11/2024,10544,US Rings,17764.2,423.31,667.2,Elohim,Boleto,3,2.96,UNIDADES,Wire-o,FERRAGEM
MP004 ILHOS Nº 54BRANCO-U,10000,29/10/2024,22/10/2024,24/10/2024,25/10/2024,28/10/2024,107866,Castro e Castro,279.9,0,30.53,Elohim,Boleto,3,0.03,UNIDADES,Resto,ILHOS
MP004 ILHOS Nº 54PRETO-U,50000,30/10/2024,23/10/2024,24/10/2024,25/10/2024,28/10/2024,107866,Castro e Castro,1229.5,0,134.13,Elohim,Boleto,3,0.02,UNIDADES,Resto,ILHOS
MP111 PELICA CARAMELO 180G/M2 BOB 1300 MMUNICA-U,400,06/11/2024,23/10/2024,30/10/2024,,18/11/2024,4487,Buritama Sintéticos,4390.19,150.57,510.24,Mar,Boleto,3,10.98,METROS,Sintéticos,COURO
MP099 PELICA PRETA 180G/M2 Bob 1300 MM - COR 124UNICA-U,1000,06/11/2024,23/10/2024,30/10/2024,08/11/2024,18/11/2024,26100,Buritama Sintéticos,11350.79,389.28,1319.22,Mar,Boleto,3,11.35,METROS,Sintéticos,COURO
MP113 PELICA VERDE OLIVA 180G/M2 BOB 1300 MMUNICA-U,450,06/11/2024,23/10/2024,30/10/2024,08/11/2024,18/11/2024,26100,Buritama Sintéticos,4938.96,169.39,574.02,Mar,Boleto,3,10.98,METROS,Sintéticos,COURO
MP133 PERCALUX HAVANA 180G/M2 BOB 1300 MMUNICA-U,400,06/11/2024,23/10/2024,30/10/2024,08/11/2024,18/11/2024,26100,Buritama Sintéticos,4390.19,150.57,510.24,Mar,Boleto,3,10.98,METROS,Sintéticos,COURO
20347 PEVECRON - CEDRO PRETO 180G/M2 BOB 1400 MMUNICA-U,100,06/11/2024,23/10/2024,24/10/2024,01/11/2024,06/11/2024,7355,Belo Plástico,3164.4,0,0,Gomes,Cartão,6,31.64,METROS,Sintéticos,COURO
Pendente Metalicos 30cm Preto,1000,04/11/2024,23/10/2024,19/10/2024,,29/10/2024,4459,Lassane,320,,,Mar,Boleto,3,0.32,UNIDADES,Wire-o,PENDENTE
Percalux Verde Pinho 180g/m2 Bob 1400 mm,30,29/10/2024,23/10/2024,24/10/2024,24/10/2024,29/10/2024,14772,Jafi Decorações,525,0,0,Gomes,Cartão,2,17.5,METROS,Sintéticos,COURO
20336 FERRAGEM A5UNICA-U,4000,25/11/2024,17/10/2024,25/10/2024,21/11/2024,26/11/2024,10561,US Rings,12434.94,305.27,467.04,Elohim,Boleto,3,3.11,UNIDADES,Wire-o,FERRAGEM
Saco Adesivado 15x24 Aba - Meu Pequeno Cicero,1000,01/11/2024,24/10/2024,25/10/2024,28/10/2024,31/10/2024,9372,Brumar Comercio de Embalagens Ltda,150,0,0,Projeto,Boleto,1,0.15,UNIDADES,Embalagens,SACO ADESIVADO
MP002 FITA DE CETIM Nº1 7MMVerde Piscina - Cód. 232 Prógresso-7MM,200,30/10/2024,25/10/2024,25/10/2024,25/10/2024,31/10/2024,274578,DSJ Londrina,21.98,10.75,3.28,Projeto,Cartão,1,0.11,METROS,Aviamentos,FITA DE CETIM
Saco Adesivado 15x15 - Calendario Mesa,1000,30/10/2024,25/10/2024,28/10/2024,29/10/2024,29/10/2024,1563,Jofer Benfica Embalagens Ltda,150,0,0,Gomes,Cartão,1,0.15,UNIDADES,Embalagens,SACO ADESIVADO
Percalux Verde Petróleo 180g/m2 Bob 1400 mm,30,31/10/2024,28/10/2024,28/10/2024,29/10/2024,31/10/2024,14789,Jafi Decorações,525,0,0,Gomes,Cartão,,17.5,METROS,Sintéticos,COURO
MP003 ELASTICO Nº 12Verde Bandeira - São José-U,200,18/11/2024,29/10/2024,30/10/2024,,08/11/2024,,DSJ Londrina,121.8,,,Projeto,Cartão,3,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Verde Musgo - São José-U,600,18/11/2024,29/10/2024,30/10/2024,,08/11/2024,,DSJ Londrina,365.4,28.52,,Projeto,Cartão,3,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Vermelho - São José-U,500,18/11/2024,29/10/2024,30/10/2024,,08/11/2024,,DSJ Londrina,304.5,,,Projeto,Cartão,3,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Branco - São José-U,40,01/11/2024,01/11/2024,30/10/2024,31/10/2024,31/10/2024,911174,Parco Comércio e Serviços,21.16,0,4.23,Projeto,Cartão,1,0.53,METROS,Aviamentos,ELASTICO
Percalux Verde Musgo 180g/m2 Bob 1400 mm,20,06/11/2024,01/11/2024,04/11/2024,05/11/2024,06/11/2024,14823,Jafi Decorações,350,0,0,Gomes,Cartão,2,17.5,METROS,Sintéticos,COURO
MP099 PELICA PRETA 180G/M2 Bob 1300 MM - COR 124UNICA-U,1200,22/11/2024,06/11/2024,07/11/2024,12/11/2024,25/11/2024,26136,Buritama Sintéticos,12431.82,337.3,1444.86,Universo,Boleto,3,10.36,METROS,Sintéticos,COURO
20378 WIRE-O - BOBINA PRETAUNICA-7/8,10,13/11/2024,06/11/2024,08/11/2024,11/11/2024,14/11/2024,210390,Lassane,3586.17,352.9,416.79,Natural,Boleto,3,358.62,CAIXAS,Wire-o,WIRE-O
20380 WIRE-O - BOBINA BRANCAUNICA-3/4,2,13/11/2024,06/11/2024,08/11/2024,11/11/2024,14/11/2024,210390,Lassane,767.38,75.52,89.19,Natural,Boleto,3,383.69,CAIXAS,Wire-o,WIRE-O
MP001 FITA DE CETIM Nº0 4MMVerde Musgo - cód. 108 Kit-4MM,400,24/10/2024,17/10/2024,07/11/2024,07/11/2024,07/11/2024,593194,Tecidos e Armarinhos 253,39.96,0,7.99,Projeto,Cartão,1,0.1,METROS,Aviamentos,FITA DE CETIM
Percalux Verde Musgo 180g/m2 Bob 1400 mm,20,8/11/2024,06/11/2024,07/11/2024,08/11/2024,08/11/2024,14843,Jafi Decorações,350,0,0,Gomes,Cartão,2,17.5,METROS,Sintéticos,COURO
MP003 ELASTICO Nº 12Verde Bandeira - São José-U,250,25/11/2024,12/11/2024,14/11/2024,,21/11/2024,300777,DSJ Londrina,152.25,,,Natural,Pix,1,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Azul Marinho - São José-U,300,25/11/2024,12/11/2024,14/11/2024,,21/11/2024,300777,DSJ Londrina,182.7,,,Natural,Pix,1,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Branco - São José-U,150,18/11/2024,12/11/2024,14/11/2024,,21/11/2024,300777,DSJ Londrina,88.65,,,Natural,Pix,1,0.59,METROS,Aviamentos,ELASTICO
MP001 FITA DE CETIM Nº0 4MMBranco - Cód. 01 Kit-4MM,160,18/11/2024,12/11/2024,13/11/2024,14/11/2024,18/11/2024,110398,Parco Comércio e Serviços,19.98,0,2.18,Elohim,Boleto,3,0.12,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Bandeira - Cód. 118 Kit-4MM,220,18/11/2024,12/11/2024,13/11/2024,14/11/2024,18/11/2024,110398,Parco Comércio e Serviços,29.97,0,3.27,Elohim,Boleto,3,0.14,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMLaranja - Cód. 25 Kit-4MM,40,18/11/2024,12/11/2024,13/11/2024,14/11/2024,18/11/2024,110398,Parco Comércio e Serviços,9.99,0,1.09,Elohim,Boleto,3,0.25,METROS,Aviamentos,FITA DE CETIM
Papelao 1250 g/m2 1.5mm - 800 x 1000,1260,02/12/2024,12/11/2024,22/11/2024,25/11/2024,02/12/2024,38843,Papelão União,4945.69,504.34,620.08,Mar,Boleto,4,3.93,FOLHAS,Papelão,PAPELAO
Papelao 1250 g/m2 800 x 1000 - 1.90mm,1000,02/12/2024,12/11/2024,22/11/2024,,02/12/2024,4540,Papelão União,5029.1,497.3,630.53,Mar,Boleto,4,5.03,FOLHAS,Papelão,PAPELAO
MP431 PAPELAO CORTADO 27X38 - COLEGIAL 17X24UNICA-U,11400,02/12/2024,12/11/2024,22/11/2024,,02/12/2024,4540,Papelão União,6376.67,655.39,805.8,Mar,Boleto,4,0.56,FOLHAS,Papelão,PAPELAO
MP434 PAPELAO CORTADO 29X23.5 - CADERNETA 14X21/9X13UNICA-U,18000,02/12/2024,12/11/2024,22/11/2024,,02/12/2024,4540,Papelão União,8567.87,995.88,1220.16,Mar,Boleto,4,0.48,FOLHAS,Papelão,PAPELAO
MP435 PAPELAO CORTADO 36.5X23.5 - ORG.A5/WIRE-O.A5/PLAN17X19.5UNICA-U,18000,02/12/2024,12/11/2024,22/11/2024,,02/12/2024,4540,Papelão União,10783.95,1135.9,1379.46,Mar,Boleto,4,0.6,FOLHAS,Papelão,PAPELAO
MP438 PAPELAO CORTADO 43X30 - CADERNO UNIVERSITARIO 20X28UNICA-U,3800,02/12/2024,12/11/2024,22/11/2024,25/11/2024,02/12/2024,38843,Papelão União,3266.03,320.89,404.31,Mar,Boleto,4,0.86,FOLHAS,Papelão,PAPELAO
Percalux Verde Petróleo 180g/m2 Bob 1400 mm,15,18/11/2024,12/11/2024,19/11/2024,19/11/2024,19/11/2024,14873,Jafi Decorações,230,0,0,Elohim,Pix,1,15.33,METROS,Sintéticos,COURO
MP003 ELASTICO Nº 12Azul Marinho - São José-U,500,12/12/2024,12/11/2024,03/12/2024,06/12/2024,10/12/0224,325043,DSJ Londrina,304.5,,37.81,Universo,Pix,1,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Azul Royal - São José-U,600,12/12/2024,12/11/2024,03/12/2024,06/12/2024,10/12/2024,325043,DSJ Londrina,365.4,,45.37,Universo,Pix,1,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Marrom - São José-U,600,12/12/2024,12/11/2024,03/12/2024,06/12/2024,10/12/2024,325043,DSJ Londrina,365.4,,45.37,Universo,Pix,1,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Preto - São José-U,500,12/12/2024,12/11/2024,03/12/2024,06/12/2024,10/12/2024,325043,DSJ Londrina,304.5,,37.81,Universo,Pix,1,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Verde Musgo - São José-U,1300,12/12/2024,12/11/2024,12/12/2024,,27/12/2024,332924,DSJ Londrina,791.7,,,Universo,Boleto,1,0.61,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Vinho - Monitex-U,600,21/11/2024,12/11/2024,13/11/2024,26/11/2024,25/11/2024,37880,Elásticos Monitex,256.14,0,0.85,Elohim,Boleto,1,0.43,METROS,Aviamentos,ELASTICO
20347 PEVECRON - CEDRO PRETO 180G/M2 BOB 1400 MMUNICA-U,100,25/11/2024,12/11/2024,13/11/2024,21/11/2024,25/11/2024,7585,Belo Plástico,3164.4,0,0,Gomes,Cartão,6,31.64,METROS,Sintéticos,COURO
MP113 PELICA VERDE OLIVA 180G/M2 BOB 1300 MMUNICA-U,400,25/11/2024,12/11/2024,13/11/2024,28/11/2024,28/11/2024,26250,Buritama Sintéticos,5487.84,0,637.8,Bela,Boleto,3,13.72,METROS,Sintéticos,COURO
Pendente Metalicos 30cm Preto,1000,25/11/2024,12/11/2024,22/11/2024,27/11/2024,28/11/2024,211313,Lassane,320.02,35.86,41.36,Mar,Boleto,3,0.32,UNIDADES,Wire-o,PENDENTE
MP001 FITA DE CETIM Nº0 4MMAzul Marinho - Cód. 120 Kit-4MM,200,22/11/2024,13/11/2024,13/11/2024,,18/11/2024,110398,Parco Comércio e Serviços,19.98,,,Mar,Boleto,2,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMDourada - Cód. 87 Kit-4MM,400,22/11/2024,13/11/2024,13/11/2024,,18/11/2024,110398,Parco Comércio e Serviços,39.96,,,Mar,Boleto,2,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMPreta - Cód. 39-4MM,600,22/11/2024,13/11/2024,13/11/2024,,18/11/2024,110398,Parco Comércio e Serviços,59.94,,,Mar,Boleto,2,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Piscina - Cód. 232 Prógresso-4MM,200,22/11/2024,13/11/2024,12/12/2024,,27/12/2024,332924,DSJ Londrina,21.98,,,Universo,Boleto,1,0.11,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVinho - Cód. 37 Kit-4MM,200,22/11/2024,13/11/2024,13/11/2024,25/11/2024,25/11/2024,25171,Parco Comércio e Serviços,25.98,0,3.12,Gomes,Cartão,1,0.13,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMAzul Marinho - Cód. 120 Kit-7MM,200,22/11/2024,13/11/2024,13/11/2024,,18/11/2024,110398,Parco Comércio e Serviços,35.2,,,Mar,Boleto,2,0.18,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMPreta - Cód. 39-7MM,5000,22/11/2024,13/11/2024,13/11/2024,,18/11/2024,110398,Parco Comércio e Serviços,499.5,,,Mar,Boleto,2,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMMarrom - cód. 32-4MM,200,22/11/2024,13/11/2024,13/11/2024,,18/11/2024,110398,Parco Comércio e Serviços,19.98,,,Mar,Boleto,2,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMPreta - Cód. 39-4MM,600,29/11/2024,19/11/2024,02/12/2024,02/12/2024,02/12/2024,80981,Parco Comércio e Serviços,77.94,0,9.35,Projeto,Cartão,1,0.13,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMAzul Marinho - Cód. 120 Kit-4MM,200,29/11/2024,19/11/2024,02/12/2024,02/12/2024,02/12/2024,80981,Parco Comércio e Serviços,25.98,0,3.12,Projeto,Cartão,1,0.13,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Musgo - cód. 108 Kit-4MM,300,29/11/2024,19/11/2024,25/11/2024,25/11/2024,25/11/2024,25171,Parco Comércio e Serviços,38.97,0,4.68,Gomes,Cartão,1,0.13,METROS,Aviamentos,FITA DE CETIM
Fita de Cetim Nº0 4mm Areia - Cód. 1643 Colore,50,02/12/2024,19/11/2024,22/11/2024,29/11/2024,02/12/2024,61458,GPA Ind. Com. Embalagens Ltda,8175,0,1635,Mar,Boleto,2,163.5,UNIDADES,Cola,FITA DE CETIM
Percalux Verde Pinho 180g/m2 Bob 1400 mm,20,26/11/2024,19/11/2024,22/11/2024,26/11/2024,27/11/2024,14895,Jafi Decorações,350,0,0,Elohim,Pix,1,17.5,METROS,Sintéticos,COURO
MP003 ELASTICO Nº 12Amarelo Ouro - São José-U,500,21/12/2024,21/11/2024,26/11/2024,05/12/2024,21/12/2024,157506,Fábrica de Elásicos São José,227.3,,27.28,Mar,Boleto,6,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Azul Bebê - São José-U,1500,21/12/2024,21/11/2024,26/11/2024,05/12/2024,21/12/2024,157506,Fábrica de Elásicos São José,681.9,,81.83,Mar,Boleto,6,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Azul Marinho - São José-U,500,21/12/2024,21/11/2024,26/11/2024,05/12/2024,21/12/2024,157506,Fábrica de Elásicos São José,227.3,,27.28,Mar,Boleto,6,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Azul Royal - São José-U,5000,21/12/2024,21/11/2024,26/11/2024,05/12/2024,21/12/2024,157506,Fábrica de Elásicos São José,2273,,272.76,Mar,Boleto,6,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Dourado - São José-U,1500,21/12/2024,21/11/2024,26/11/2024,05/12/2024,21/12/2024,157506,Fábrica de Elásicos São José,934.2,,112.1,Mar,Boleto,6,0.62,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Marfim - São José-U,300,21/12/2024,21/11/2024,26/11/2024,05/12/2024,21/12/2024,157506,Fábrica de Elásicos São José,136.38,,16.37,Mar,Boleto,6,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Marrom - São José-U,500,21/12/2024,21/11/2024,26/11/2024,05/12/2024,21/12/2024,157506,Fábrica de Elásicos São José,227.3,,27.28,Mar,Boleto,6,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Preto - São José-U,2500,21/12/2024,21/11/2024,26/11/2024,05/12/2024,21/12/2024,157506,Fábrica de Elásicos São José,1136.5,,136.38,Mar,Boleto,6,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Rosa Bebê - São José-U,500,21/12/2024,21/11/2024,26/11/2024,05/12/2024,21/12/2024,157506,Fábrica de Elásicos São José,227.3,,27.28,Mar,Boleto,6,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Verde Agua - São José-U,2200,21/12/2024,21/11/2024,26/11/2024,05/12/2024,21/12/2024,157506,Fábrica de Elásicos São José,1000.12,,120.01,Mar,Boleto,6,0.45,METROS,Aviamentos,ELASTICO
20378 WIRE-O - BOBINA PRETAUNICA-7/8,10,02/12/2024,21/11/2024,22/11/2024,27/11/2024,28/11/2024,211313,Lassane,3233.27,362.3,417.89,Mar,Boleto,3,323.33,CAIXAS,Wire-o,WIRE-O
MP001 FITA DE CETIM Nº0 4MMAmarelo Ouro - Cód. 132 Kit-4MM,300,02/12/2024,21/11/2024,25/11/2024,29/11/2024,29/11/2024,111927,Castro e Castro,29.97,0,3.27,Mar,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMAzul Bebê - Cód. 104 Kit-4MM,600,02/12/2024,21/11/2024,25/11/2024,29/11/2024,29/11/2024,111927,Castro e Castro,59.94,0,6.54,Mar,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMAzul Marinho - Cód. 120 Kit-4MM,200,02/12/2024,21/11/2024,25/11/2024,29/11/2024,29/11/2024,111927,Castro e Castro,19.98,0,2.18,Mar,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMDourada - Cód. 87 Kit-4MM,300,02/12/2024,21/11/2024,25/11/2024,29/11/2024,29/11/2024,111927,Castro e Castro,29.97,0,3.27,Mar,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMAzul Royal - cód. 40-4MM,2000,2/12/2024,21/11/2024,25/11/2024,29/11/2024,29/11/2024,111927,Castro e Castro,199.8,0,21.8,Mar,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMMarfim - Cód.02 Kit-4MM,200,02/12/2024,21/11/2024,25/11/2024,29/11/2024,29/11/2024,111927,Castro e Castro,19.98,0,2.18,Mar,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMMarrom - cód. 32-4MM,200,02/12/2024,21/11/2024,25/11/2024,29/11/2024,29/11/2024,111927,Castro e Castro,19.98,0,2.18,Mar,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMPreta - Cód. 39-4MM,1500,02/12/2024,21/11/2024,25/11/2024,29/11/2024,29/11/2024,111927,Castro e Castro,149.85,0,16.35,Mar,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Musgo - cód. 108 Kit-4MM,300,02/12/2024,21/11/2024,02/12/2024,02/12/2024,02/12/2024,80981,Parco Comércio e Serviços,38.97,0,4.68,Projeto,Cartão,1,0.13,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Piscina - Cód. 232 Prógresso-4MM,1000,02/12/2024,21/11/2024,27/11/2024,,05/12/2024,,Armarinho São José,109.9,13,,Universo,Pix,1,0.11,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVinho - Cód. 37 Kit-4MM,200,02/12/2024,21/11/2024,25/11/2024,29/11/2024,29/11/2024,111927,Castro e Castro,19.98,0,2.18,Mar,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMDourada - Cód. 87 Kit-7MM,200,2/12/2024,21/11/2024,25/11/2024,29/11/2024,29/11/2024,111927,Castro e Castro,19.98,0,2.18,Mar,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Bandeira - Cód. 118 Kit-4MM,200,02/12/2024,21/11/2024,25/11/2024,29/11/2024,29/11/2024,111927,Castro e Castro,19.98,0,2.18,Mar,Boleto,3,0.1,METROS,Aviamentos,FITA DE CETIM
Saco Adesivado 15x24 Aba - Meu Pequeno Cicero,1000,11/12/2024,21/11/2024,26/11/2024,28/11/2024,29/11/2024,9532,Brumar Comercio de Embalagens Ltda,150,15,0,Bela,Pix,1,0.15,UNIDADES,Embalagens,SACO ADESIVADO
20336 FERRAGEM A5UNICA-U,4000,11/12/2024,21/11/2024,22/11/2024,26/11/2024,11/12/2024,10566,US Rings,12434.94,170.5,467.04,Mar,Boleto,3,3.11,UNIDADES,Wire-o,FERRAGEM
20337 FERRAGEM 17X24UNICA-U,4000,11/12/2024,21/11/2024,22/11/2024,26/11/2024,11/12/2024,10566,US Rings,10254.67,170.5,385.15,Mar,Boleto,3,2.56,UNIDADES,Wire-o,FERRAGEM
MP004 ILHOS Nº 54PRATA-U,10000,11/12/2024,21/11/2024,25/11/2024,29/11/2024,29/11/2024,111927,Castro e Castro,245.9,0,26.83,Mar,Boleto,3,0.02,UNIDADES,Resto,ILHOS
